popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,class,new_class,name
87,0.754,0.073,0.342,0.0,0.193,-8.677,0.0991,128.981,0,1,REEL IT IN
88,0.757,0.17300000000000001,0.8490000000000001,0.0,0.0878,-3.424,0.0536,150.036,0,1,Woman Like Me (feat. Nicki Minaj)
88,0.596,0.0169,0.8540000000000001,0.0,0.124,-5.114,0.46299999999999997,120.274,0,1,Youngblood
88,0.922,0.0010400000000000001,0.581,5.8599999999999995e-05,0.105,-7.495,0.27,140.02200000000002,1,1,Look Alive (feat. Drake)
90,0.48700000000000004,0.009470000000000001,0.789,4.05e-06,0.18899999999999997,-3.69,0.044000000000000004,150.007,1,1,STARGAZING
89,0.7340000000000001,0.847,0.57,2.14e-05,0.11199999999999999,-7.066,0.133,129.953,0,1,Everybody Dies In Their Nightmares
68,0.54,0.635,0.439,1.93e-05,0.0993,-8.591000000000001,0.115,167.908,0,1,Saturday Nights
91,0.579,0.193,0.904,0.0,0.064,-2.7289999999999996,0.0618,82.014,0,1,High Hopes
80,0.742,0.0381,0.579,0.0,0.0952,-5.024,0.20199999999999999,144.994,0,1,Wasted (feat. Lil Uzi Vert)
87,0.785,0.28300000000000003,0.5539999999999999,3.4e-06,0.11599999999999999,-6.571000000000001,0.0409,128.047,0,1,YOSEMITE
86,0.88,0.149,0.428,5.07e-05,0.114,-8.28,0.20600000000000002,100.007,1,1,Ric Flair Drip (& Metro Boomin)
88,0.732,0.00264,0.75,0.0,0.109,-6.3660000000000005,0.231,155.096,1,1,XO TOUR Llif3
93,0.903,0.542,0.675,1.28e-05,0.0595,-3.445,0.214,96.507,0,1,Te Bot̩ - Remix
92,0.602,0.0233,0.6579999999999999,5.9999999999999995e-05,0.237,-5.934,0.0558,145.031,0,1,God is a woman
81,0.763,0.259,0.726,0.0,0.0976,-6.405,0.282,139.059,0,1,Look At Me!
88,0.708,0.0956,0.648,0.0,0.134,-5.626,0.0449,143.955,0,1,Love Lies (with Normani)
87,0.5920000000000001,0.6609999999999999,0.457,0.000331,0.146,-6.081,0.0603,146.04,0,1,Hope
86,0.8759999999999999,0.20199999999999999,0.519,0.0,0.10800000000000001,-6.531000000000001,0.14300000000000002,94.98100000000001,0,1,Plug Walk
76,0.574,0.0969,0.758,0.0,0.395,-5.029,0.0621,144.111,0,1,Close To Me (feat. Swae Lee)
64,0.682,0.0196,0.861,0.0,0.114,-3.3360000000000003,0.23399999999999999,160.05200000000002,0,1,MiAMi (feat. Gunna)
83,0.665,0.044000000000000004,0.585,0.0,0.0789,-5.077,0.366,158.953,0,1,Close Friends (Lil Baby & Gunna)
87,0.63,0.215,0.804,0.0,0.253,-4.183,0.0363,123.146,0,1,Congratulations
90,0.7190000000000001,0.0691,0.7040000000000001,0.0,0.166,-4.724,0.0476,133.002,0,1,Sweet but Psycho
78,0.7959999999999999,0.32899999999999996,0.565,0.0,0.102,-7.631,0.128,100.00299999999999,0,1,Kamikaze
91,0.6990000000000001,0.04,0.713,3.11e-06,0.294,-5.507000000000001,0.0594,121.993,0,1,no tears left to cry
80,0.955,0.0987,0.49200000000000005,0.0,0.41700000000000004,-8.443999999999999,0.395,130.062,0,1,Get Dripped (feat. Playboi Carti)
90,0.892,0.0989,0.6509999999999999,0.0,0.371,-8.645,0.37799999999999995,105.814,0,1,Killshot
85,0.718,0.138,0.767,0.0,0.114,-5.641,0.166,160.084,0,1,Lust
86,0.841,0.0847,0.728,0.0,0.149,-3.37,0.0484,130.049,1,1,goosebumps
68,0.794,0.0952,0.598,0.0,0.166,-5.042,0.3,94.984,0,1,FeRRis WhEEL (feat. Trippie Redd)
83,0.7759999999999999,0.128,0.608,0.0,0.0932,-6.478,0.10400000000000001,156.025,0,1,Shake It Up
65,0.672,0.619,0.588,0.24100000000000002,0.0992,-9.573,0.133,169.033,0,1,YEAH RIGHT
