,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
37,Ocean (feat. Khalid),Ocean (feat. Khalid),Martin Garrix,2018-06-15,216419,91,0.506,0.584,0.506,0.693,9.58e-05,0.0891,-7.265,0.0412,139.912,4
38,Don't Leave Me Alone (feat. Anne-Marie),Don't Leave Me Alone (feat. Anne-Marie),David Guetta,2018-07-26,183750,89,0.659,0.118,0.659,0.738,0.0,0.115,-5.072,0.0477,127.95,4
39,God's Plan,Scary Hours,Drake,2018-01-20,198960,57,0.755,0.0283,0.755,0.448,3.28e-05,0.514,-9.587,0.107,77.179,4
40,breathin,Sweetener,Ariana Grande,2018-08-17,198160,94,0.568,0.0211,0.568,0.656,1.37e-05,0.213,-5.413,0.0433,100.049,4
41,Darkside,Darkside,Alan Walker,2018-07-27,211866,89,0.425,0.164,0.425,0.642,0.0,0.118,-5.06,0.0502,170.008,4
42,You Are The Reason,Only Human (Deluxe),Calum Scott,2018-03-09,204326,84,0.331,0.918,0.331,0.235,0.0,0.137,-7.7,0.0299,171.232,3
43,Side Effects (feat. Emily Warren),Sick Boy...Side Effects,The Chainsmokers,2018-07-27,173613,71,0.673,0.00277,0.673,0.71,0.0,0.55,-6.744,0.0324,110.017,4
44,Happier,÷ (Deluxe),Ed Sheeran,2017-03-03,207520,88,0.522,0.536,0.522,0.385,0.0,0.135,-7.355,0.0288,89.792,4
45,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,2018-02-16,201526,88,0.792,0.165,0.792,0.895,0.0,0.0501,-3.112,0.0589,94.968,4
46,Shotgun,Staying at Tamara's,George Ezra,2018-03-23,201287,93,0.672,0.286,0.672,0.735,0.0,0.242,-4.733,0.0457,115.741,4
47,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,2018-01-19,210772,89,0.653,0.194,0.653,0.809,0.0,0.165,-4.057,0.0474,92.213,4
48,Body,Body,Loud Luxury,2018-03-02,163216,82,0.759,0.0503,0.759,0.774,4.02e-05,0.056,-4.408,0.0381,121.969,4
49,Blah Blah Blah,Blah Blah Blah,Armin van Buuren,2018-05-18,183518,70,0.612,0.00897,0.612,0.963,0.00378,0.294,-3.912,0.0531,138.009,4
50,IDGAF,Dua Lipa (Deluxe),Dua Lipa,2017-06-02,218173,70,0.836,0.0433,0.836,0.552,0.0,0.0773,-5.66,0.0851,97.036,4
51,Call Out My Name,"My Dear Melancholy,",The Weeknd,2018-03-30,228373,86,0.449,0.211,0.449,0.599,0.0,0.327,-4.892,0.0369,134.144,3
52,Right Now,Right Now,Nick Jonas,2018-08-24,201680,84,0.597,0.0104,0.597,0.751,0.0,0.0912,-4.982,0.193,103.956,4
53,So Far Away (feat. Jamie Scott & Romy Dya),So Far Away (feat. Jamie Scott & Romy Dya),Martin Garrix,2017-12-01,183636,79,0.526,0.435,0.526,0.52,0.0,0.197,-7.985,0.0569,149.119,4
54,rockstar,rockstar (feat. 21 Savage),Post Malone,2018-02-02,218320,35,0.578,0.117,0.578,0.532,8.97e-05,0.143,-6.636,0.066,159.784,4
55,Beautiful (feat. Camila Cabello),Beautiful (feat. Camila Cabello),Bazzi,2018-08-02,180000,94,0.638,0.346,0.638,0.717,0.0,0.105,-4.722,0.0337,100.027,4
56,In My Blood,In My Blood,Shawn Mendes,2018-03-22,211600,47,0.628,0.0524,0.628,0.715,0.0,0.119,-7.097,0.0541,139.991,4
57,Dance To This (feat. Ariana Grande),Dance To This (feat. Ariana Grande),Troye Sivan,2018-06-13,231846,81,0.736,0.00632,0.736,0.756,0.00577,0.106,-7.099,0.047,117.016,4
58,High Hopes,Pray For The Wicked,Panic! At The Disco,2018-06-22,190946,92,0.579,0.193,0.579,0.904,0.0,0.064,-2.729,0.0618,82.014,4
59,Havana,Camila,Camila Cabello,2018-01-12,217306,90,0.765,0.184,0.765,0.523,3.56e-05,0.132,-4.333,0.03,104.988,4
60,How Long,How Long,Charlie Puth,2017-10-05,198237,37,0.849,0.189,0.849,0.581,3.61e-06,0.0805,-5.243,0.0767,110.008,4
61,Échame La Culpa,Échame La Culpa,Luis Fonsi,2017-11-17,173720,52,0.724,0.0322,0.724,0.895,0.0,0.097,-3.617,0.0411,96.022,4
62,Finesse (Remix) [feat. Cardi B],Finesse (Remix) [feat. Cardi B],Bruno Mars,2017-12-20,217288,84,0.704,0.0185,0.704,0.859,0.0,0.0215,-4.877,0.0996,105.115,4
63,Jackie Chan,Jackie Chan,Tiësto,2018-05-18,215759,94,0.747,0.374,0.747,0.834,0.0,0.0586,-2.867,0.045,128.005,4
