,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Wonderwall,(What's The Story) Morning Glory,Oasis,1995-10-02,258906,6,0.413,0.00228,0.413,0.85,0.0,0.124,-5.593,0.0362,174.423,4
1,Smells Like Teen Spirit,Nirvana (International Version),Nirvana,2002-01-01,300826,20,0.48,1.62e-05,0.48,0.875,0.000751,0.103,-5.898,0.0429,116.754,4
2,Under The Bridge,Blood Sugar Sex Magik (Deluxe Version),Red Hot Chili Peppers,1991-09-24,264306,83,0.559,0.0576,0.559,0.345,0.000105,0.141,-13.496,0.0459,84.581,4
3,Californication,Californication,Red Hot Chili Peppers,1999-06-08,329733,6,0.592,0.0021,0.592,0.767,0.00165,0.127,-2.788,0.027,96.483,4
4,All I Want for Christmas Is You,Merry Christmas,Mariah Carey,1994,241106,75,0.335,0.164,0.335,0.625,0.0,0.0708,-7.462,0.0386,150.277,4
5,Iris,Dizzy Up The Girl,The Goo Goo Dolls,1998-09-11,289533,77,0.315,0.00125,0.315,0.715,7.97e-06,0.0942,-8.072,0.0362,155.925,3
6,Still D.R.E.,2001 (Explicit Version),Dr. Dre,1999-01-01,268004,54,0.814,0.175,0.814,0.779,0.000671,0.0605,-3.271,0.235,93.43,4
7,All Star,All Star Smash Hits,Smash Mouth,2005-01-01,200560,27,0.73,0.0398,0.73,0.862,0.0,0.0818,-5.876,0.0313,104.018,4
8,The Next Episode,2001 (Explicit Version),Dr. Dre,1999-01-01,161600,53,0.92,0.0313,0.92,0.891,0.0,0.083,-2.398,0.253,95.295,4
9,Creep,The Best Of,Radiohead,2008-04-07,238640,13,0.515,0.0102,0.515,0.43,0.000141,0.129,-9.935,0.0369,91.841,4
10,Enter Sandman,Metallica,Metallica,1991-08-12,331573,24,0.579,0.00206,0.579,0.824,0.00903,0.059,-8.71,0.03,123.331,4
11,All The Small Things,Enema Of The State,blink-182,1999-01-01,168000,35,0.442,0.00844,0.442,0.893,0.0,0.529,-4.878,0.0505,148.119,4
12,I Want It That Way,Millennium,Backstreet Boys,1999-05-21,213306,15,0.687,0.246,0.687,0.7,0.0,0.233,-5.74,0.0264,99.042,4
13,Bitter Sweet Symphony,This Is Music: The Singles 92-98,The Verve,2004-01-01,359546,64,0.356,0.0339,0.356,0.913,0.0,0.221,-6.015,0.0499,171.157,4
14,Wannabe,Spice,Spice Girls,1996-01-01,173026,81,0.768,0.101,0.768,0.864,0.0,0.162,-6.145,0.0324,110.008,4
15,No Scrubs,Fanmail,TLC,1999-02-23,214400,81,0.743,0.0251,0.743,0.675,0.000717,0.0685,-4.267,0.0953,92.909,4
