,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
37,Some Die Young,Sjung,Laleh,2012-01-10,228066,57,0.631,0.122,0.631,0.678,7.06e-05,0.204,-7.18,0.0273,98.477,4
38,Dansa Pausa,Dansa Pausa,Panetoz,2012-04-10,179000,49,0.811,0.0503,0.811,0.863,0.0,0.309,-4.64,0.103,121.971,4
39,Sail,Megalithic Symphony,AWOLNATION,2011,259102,0,0.825,0.452,0.825,0.435,0.609,0.0953,-9.582,0.0568,119.038,4
40,This Is Love,This Is Love,will.i.am,2012-01-01,280946,11,0.523,0.00421,0.523,0.804,0.0,0.242,-3.609,0.0471,129.035,4
41,The A Team,The A Team,Ed Sheeran,2011-05-01,258588,26,0.626,0.678,0.626,0.286,0.0,0.134,-9.933,0.0374,84.954,4
42,Summer Paradise - feat. Sean Paul,Get Your Heart On!,Simple Plan,2011-06-20,234786,63,0.421,0.0132,0.421,0.822,0.0,0.092,-4.415,0.0542,171.935,4
43,Party Rock Anthem,Party Rock Anthem,LMFAO,2011,263360,11,0.752,0.0246,0.752,0.727,0.0,0.272,-4.161,0.16,130.015,4
44,Hangover,Hangover,Taio Cruz,2011-01-01,244506,13,0.604,0.00868,0.604,0.888,0.0,0.117,-3.282,0.0454,128.032,4
45,First Of The Year (Equinox),More Monsters and Sprites EP,Skrillex,2011-06-07,261517,69,0.429,0.00711,0.429,0.948,0.0148,0.0812,-3.657,0.227,115.785,3
46,Too Close,The Lateness Of The Hour,Alex Clare,2011,256560,60,0.579,0.0137,0.579,0.731,0.0,0.113,-4.16,0.0452,126.07,4
47,Glad You Came,Glad You Came,The Wanted,2011-01-01,198466,14,0.698,0.0577,0.698,0.844,1.69e-05,0.105,-4.549,0.067,126.937,4
48,Tacatà - Radio Edit,Tacata',Tacabro,2012-04-09,210000,48,0.812,0.0083,0.812,0.857,0.0,0.354,-6.034,0.103,126.951,4
49,Don't You Worry Child (Radio Edit) [feat. John Martin],Don't You Worry Child (Radio Edit) [feat. John Martin],Swedish House Mafia,2012,212862,12,0.612,0.112,0.612,0.84,0.0,0.116,-3.145,0.0509,129.042,4
50,Good Time,The Midsummer Station,Owl City,2012-01-01,205933,27,0.554,0.0216,0.554,0.878,5.76e-06,0.362,-4.271,0.134,126.045,4
51,Pumped Up Kicks,Torches,Foster The People,2011-05-23,239600,84,0.733,0.145,0.733,0.71,0.115,0.0956,-5.849,0.0292,127.975,4
52,Dance Again,Dance Again...The Hits,Jennifer Lopez,2012-07-20,237266,63,0.792,0.0159,0.792,0.856,2.88e-06,0.0981,-5.236,0.067,127.988,4
53,Greyhound,Greyhound,Swedish House Mafia,2012,411017,8,0.723,0.00702,0.723,0.806,0.846,0.267,-4.805,0.0545,125.029,4
54,Live My Life,Live My Life,Far East Movement,2012-01-01,239320,7,0.665,0.00277,0.665,0.756,1.01e-06,0.0811,-6.942,0.114,127.974,4
55,Äckligt,Äckligt,Ansiktet,2011-01-01,242200,50,0.545,0.0133,0.545,0.823,0.0,0.0835,-7.324,0.0773,169.997,4
56,I Won't Give Up,I Won't Give Up,Jason Mraz,2012-01-03,240165,75,0.585,0.694,0.585,0.303,0.0,0.115,-10.058,0.0398,136.703,3
57,Little Talks,Little Talks,Of Monsters and Men,2012-01-01,266613,22,0.45,0.02,0.45,0.752,0.0,0.134,-5.184,0.0313,103.276,4
58,Tröjan du hatar,Tröjan du hatar,Norlie & KKV,2012-01-01,209080,50,0.699,0.0983,0.699,0.814,0.0,0.0747,-4.631,0.0562,119.983,4
59,Someone Like You,21,Adele,2011-01-19,285240,78,0.554,0.893,0.554,0.321,0.0,0.0996,-8.251,0.028,135.047,4
60,Hall of Fame,#3 Deluxe Version,The Script,2012-09-07,202533,79,0.421,0.0653,0.421,0.873,0.0,0.123,-4.343,0.0565,84.803,4
61,Vart jag än går,Vart jag än går,Stiftelsen,2012-01-01,208466,48,0.451,0.148,0.451,0.773,0.0,0.229,-6.07,0.0335,195.083,4
62,She Wolf (Falling to Pieces) [feat. Sia],She Wolf (Falling to Pieces),David Guetta,2012-08-17,210576,8,0.51,0.0639,0.51,0.859,1.56e-05,0.445,-2.479,0.0679,129.968,4
63,Feel So Close - Radio Edit,Feel So Close,Calvin Harris,2011-11-11,207880,2,0.7,0.000927,0.7,0.923,0.00826,0.0966,-2.85,0.0324,127.952,4
64,Silhouettes - Original Radio Edit,Silhouettes,Avicii,2012-01-01,211880,30,0.605,0.155,0.605,0.8,0.0562,0.121,-6.235,0.0545,128.074,4
65,Princess of China,Mylo Xyloto,Coldplay,2011-10-24,239215,68,0.425,0.00385,0.425,0.69,0.0154,0.287,-6.221,0.0351,84.99,4
66,Where Them Girls At (feat. Nicki Minaj & Flo Rida),Nothing But the Beat 2.0,David Guetta,2011-08-26,210080,56,0.662,0.0292,0.662,0.873,0.0,0.224,-3.116,0.0395,129.902,4
67,Vart jag mig i världen vänder,Ett fel närmare rätt,Den svenska björnstammen,2012-01-01,212120,5,0.772,0.0916,0.772,0.582,0.0,0.052,-7.426,0.06,127.939,4
68,When We Stand Together,When We Stand Together,Nickelback,2011-09-27,190786,5,0.446,0.000102,0.446,0.9,1.89e-05,0.0404,-3.541,0.0489,187.961,4
69,As Long As You Love Me,Believe (Deluxe Edition),Justin Bieber,2012-01-01,229466,25,0.579,0.0679,0.579,0.871,0.0,0.353,-3.385,0.109,139.841,4
70,Domino,Domino,Jessie J,2011-01-01,231840,6,0.759,0.00729,0.759,0.563,0.0,0.0342,-4.543,0.0356,126.995,4
71,Scary Monsters And Nice Sprites,Scary Monsters and Nice Sprites EP,Skrillex,2010-12-21,243353,61,0.523,0.00336,0.523,0.944,0.557,0.119,-3.581,0.0837,139.997,4
72,Där jag hänger min hatt,Där jag hänger min hatt,Norlie & KKV,2012-01-01,213573,50,0.643,0.063,0.643,0.876,0.0,0.354,-5.844,0.0478,130.14,4
73,We'll Be Coming Back,We'll Be Coming Back,Calvin Harris,2012-07-27,236413,40,0.6,0.00127,0.6,0.954,0.0,0.474,-4.325,0.0791,127.938,4
74,Flickan och kråkan,Versioner,Timbuktu,2011-12-23,211386,45,0.768,0.0406,0.768,0.676,0.0,0.042,-6.77,0.212,135.975,4
75,Rack City,Rack City,Tyga,2011-01-01,208840,21,0.927,0.0577,0.927,0.33,1.19e-05,0.177,-11.088,0.39,98.949,4
76,One Day / Reckoning Song (Wankelmut Remix) [Radio Edit],One Day / Reckoning Song (Wankelmut Remix),Asaf Avidan & the Mojos,2012-09-05,212360,0,0.821,0.187,0.821,0.676,0.0001,0.0927,-6.366,0.0547,119.012,4
77,Mercy,Mercy,Kanye West,2012-01-01,329320,23,0.563,0.0679,0.563,0.496,5.61e-05,0.173,-9.381,0.405,140.001,4
78,Scream,Looking 4 Myself (Deluxe Version),Usher,2012-06-08,234693,64,0.616,0.00117,0.616,0.862,0.0,0.179,-5.18,0.0973,127.992,4
79,Amazing,Amazing,Danny Saucedo,2012-02-26,181266,46,0.544,0.000437,0.544,0.903,0.0,0.395,-4.705,0.0432,128.052,4
80,Wide Awake,Katy Perry - Teenage Dream: The Complete Confection,Katy Perry,2012-03-12,220946,68,0.514,0.0749,0.514,0.683,2.64e-06,0.392,-5.099,0.0367,159.814,4
81,So Good,So Good,B.o.B,2012-04-05,213249,0,0.394,0.0373,0.394,0.916,0.0,0.3,-4.109,0.302,85.393,4
82,Born To Die,Born To Die (Deluxe Version),Lana Del Rey,2012-01-01,286253,54,0.18,0.209,0.18,0.636,0.000133,0.217,-6.591,0.0439,75.223,3
83,Ass Back Home (feat. Neon Hitch),The Papercut Chronicles II,Gym Class Heroes,2011-11-11,222213,60,0.716,0.134,0.716,0.838,0.0,0.148,-4.289,0.0513,130.034,4
84,The Cave,Sigh No More,Mumford & Sons,2009,215626,4,0.593,0.0467,0.593,0.507,0.000101,0.0964,-9.463,0.0386,141.978,4
85,When I Held Ya,Different Path,Moa Lignell,2012-01-01,209280,1,0.425,0.0289,0.425,0.645,0.0,0.145,-6.108,0.0372,153.939,4
86,Shake It Out,Ceremonials (Deluxe Edition),Florence + The Machine,2011-01-01,277720,64,0.519,0.0126,0.519,0.808,0.0,0.105,-4.097,0.0383,107.505,4
87,I Cry,Wild Ones,Flo Rida,2012-06-22,223800,55,0.693,0.00616,0.693,0.822,1.79e-06,0.315,-5.441,0.0439,126.035,4
88,Sean den förste Banan,Sean den förste Banan,Sean Banan,2012-02-26,183373,48,0.692,0.0243,0.692,0.934,2.28e-06,0.324,-4.034,0.0453,128.0,4
89,Lights,Lights (Bassnectar Remix),Ellie Goulding,2010-01-01,281196,1,0.529,0.00483,0.529,0.791,0.758,0.739,-4.894,0.0289,140.045,4
90,I Love It,I Love It,Icona Pop,2012-01-01,155333,11,0.714,0.00855,0.714,0.905,2.55e-05,0.146,-2.663,0.0289,125.927,4
91,Little Lion Man,Sigh No More,Mumford & Sons,2009,245173,4,0.522,0.0271,0.522,0.486,1.72e-05,0.0901,-8.05,0.0275,138.651,4
92,Hungry Hearts - Radio Edit,Hungry Hearts,Nause,2012-01-01,225173,51,0.651,0.0102,0.651,0.82,0.00601,0.0649,-5.451,0.0324,127.956,4
93,You Learn,The Burning Heart,Takida,2011-01-01,201573,34,0.641,0.824,0.641,0.558,2.35e-06,0.0856,-7.362,0.0287,127.998,4
94,La La Love,La La Love,Ivi Adamou,2012-02-03,182733,46,0.725,0.0568,0.725,0.832,0.0,0.183,-2.961,0.0486,131.038,4
95,Everybody Talks,Everybody Talks,Neon Trees,2011-01-01,179386,12,0.476,0.00895,0.476,0.918,0.0,0.292,-3.988,0.0616,154.897,4
96,City Boy,City Boy,Donkeyboy,2011-11-29,205261,43,0.646,0.00234,0.646,0.539,0.00156,0.105,-5.155,0.0413,121.01,4
97,Svalkar vinden,Ett fel närmare rätt,Den svenska björnstammen,2012-01-01,189120,3,0.636,0.337,0.636,0.589,2.43e-05,0.0996,-9.24,0.0271,94.902,4
98,The Motto,The Motto (Explicit Version),Drake,2012-01-01,181400,27,0.774,0.000146,0.774,0.431,1.99e-05,0.112,-8.407,0.346,201.843,4
