,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
36,Afreen Afreen (Coke Studio Season 9),Afreen Afreen (Coke Studio Season 9),Rahat Fateh Ali Khan,2016-08-23,400000,49,0.386,0.709,0.386,0.558,0.0,0.121,-4.525,0.045,187.27,4
37,Baaki Baatein Peene Baad (Shots),Baaki Baatein Peene Baad (Shots),Arjun Kanungo,2015-09-25,220312,44,0.566,0.0246,0.566,0.862,0.0,0.103,-6.02,0.105,147.974,4
38,Tera Zikr,Tera Zikr,Darshan Raval,2017-11-10,208500,40,0.613,0.823,0.613,0.47,1.87e-06,0.138,-8.441,0.0344,102.944,4
39,Aainda,Aainda,Arko,2017-08-12,247071,25,0.471,0.319,0.471,0.673,0.0,0.114,-5.832,0.0347,140.03,4
40,Run D World,Run D World,Dwayne Bravo,2018-04-16,129039,22,0.882,0.268,0.882,0.727,0.107,0.124,-4.373,0.0674,106.004,4
41,Kashmir,Marz,The Yellow Diary,2018-04-26,208656,27,0.647,0.848,0.647,0.544,1.97e-05,0.149,-7.123,0.0341,136.099,4
42,Bewajah,Bewajah,Anirudh Ravichander,2017-11-11,193913,19,0.544,0.266,0.544,0.703,0.0,0.0883,-5.914,0.0446,159.831,3
43,Made in India,Made In India,Alisha Chinai,1996,266800,30,0.778,0.00998,0.778,0.641,0.000416,0.0618,-11.972,0.0422,92.044,4
44,Teri Deewani,Kailasa,Kailasa,2006-02-24,323520,40,0.447,0.324,0.447,0.6,0.0,0.0962,-3.718,0.0332,80.044,3
45,Kareja Kareja,Kareja Kareja,Badshah,2018-01-08,164842,28,0.898,0.000948,0.898,0.366,0.0013,0.0605,-10.84,0.0797,95.011,4
46,Farak,Farak,DIVINE,2017-02-17,188347,33,0.712,0.153,0.712,0.692,0.0,0.205,-4.29,0.274,95.025,4
47,Sanam Mere Sanam,Jammin - Season 1,Various Artists,2017-02-27,344444,38,0.536,0.906,0.536,0.416,0.00173,0.16,-8.74,0.0252,100.075,4
48,Daru Daru,Daru Daru,Deep Jandu,2016-11-18,197341,37,0.914,0.209,0.914,0.822,3.73e-05,0.287,-4.144,0.0542,100.022,4
49,Fursat,Fursat,Arjun Kanungo,2016-03-11,276746,34,0.465,0.00271,0.465,0.587,0.0,0.138,-6.078,0.0337,122.001,4
50,O Sanam,Sunoh,Lucky Ali,1996,223027,35,0.76,0.409,0.76,0.555,0.213,0.0822,-10.165,0.0465,98.063,4
51,Dooba Dooba,Boondein,Silk Route,1983,303020,29,0.716,0.529,0.716,0.562,0.000133,0.0928,-8.741,0.0315,105.004,4
52,Afzai,Marz,The Yellow Diary,2018-04-26,189207,25,0.5,0.448,0.5,0.794,3.34e-06,0.226,-7.852,0.116,160.016,4
53,You're Gold,You're Gold,Badshah,2018-04-18,193269,30,0.705,0.00714,0.705,0.812,1.18e-05,0.301,-8.207,0.109,104.052,4
54,Ek Dafaa (Chinnamma),Ek Dafaa (Chinnamma),Arjun Kanungo,2017-01-13,222721,32,0.5,0.0095,0.5,0.699,0.0,0.062,-6.075,0.0914,163.946,4
55,Tanha Dil,Tanha Dil...,Shaan,2000-01-01,291240,33,0.621,0.102,0.621,0.704,0.0,0.185,-5.293,0.0236,99.941,4
56,Pyaar Ke Pal,Pal,KK,1999-04-16,359373,28,0.599,0.845,0.599,0.135,2.43e-05,0.11,-12.376,0.0308,122.107,3
57,Kabhi To Nazar Milao,Kabhi To Nazar Milao/Bheegi Bheegi raton Mein,Adnan Sami,1997,465226,36,0.588,0.571,0.588,0.493,0.0,0.111,-9.696,0.0241,98.017,4
58,Zaroori Tha,Back 2 Love,Rahat Fateh Ali Khan,2014-05-07,342023,2,0.523,0.771,0.523,0.674,0.0,0.139,-4.832,0.0328,114.058,4
59,Saawan Mein Lag Gayee Aag,Saawan Mein Lag Gayee Aag,Mika Singh,1998,248775,16,0.666,0.407,0.666,0.988,1.45e-05,0.0376,-3.907,0.063,130.133,4
60,Madari,"Greatest Hits of Coke Studio India, Vol. 1",Various Artists,2013-12-06,463786,26,0.578,0.115,0.578,0.86,0.0,0.18,-5.448,0.0386,113.074,4
61,Piya Basanti,Piya Basanti,Sultan Khan,2000-08-20,276520,29,0.758,0.158,0.758,0.333,1.28e-05,0.0851,-16.082,0.0289,100.973,4
62,Duur,Duur,Strings,2000-09-21,307626,30,0.624,0.0148,0.624,0.804,0.00326,0.0867,-7.602,0.044,117.885,4
63,Paree Dhuan,Dhuan,Suneeta Rao,1990-12-01,361706,0,0.441,0.0274,0.441,0.375,0.00359,0.0918,-13.344,0.061,80.818,3
64,"Saamne Yeh Kaun - The 'Sun, Sea, Sand & Sex' Mix",Dance Masti.....Forever,Instant Karma,2009-02-19,262813,14,0.844,0.000594,0.844,0.686,0.0114,0.073,-6.617,0.198,100.003,4
65,Tera Woh Pyar (Nawazishein Karam),Coke Studio Season 9: Sound of the Nation,Various Artists,2016-09-26,425000,39,0.317,0.502,0.317,0.611,0.0,0.104,-5.27,0.0309,109.955,4
66,Mercy,Mercy,Badshah,2017-04-03,162404,45,0.836,0.0732,0.836,0.767,0.00018,0.174,-5.179,0.0885,89.956,4
67,Johnny Joker,Johnny Joker,Biddu,1993,275693,8,0.634,0.386,0.634,0.837,0.000952,0.323,-12.766,0.0979,126.214,4
68,Tauba Tauba,Kailasa,Kailasa,2006-02-24,232013,22,0.867,0.349,0.867,0.85,0.000119,0.0471,-3.794,0.0434,110.045,4
69,Bolo Ta Ra Ra,Bolo Ta Ra Ra,Daler Mehndi,1995,313026,32,0.703,0.282,0.703,0.848,0.295,0.0454,-11.002,0.0462,144.899,4
70,Sa Ni Dha Pa,Mtv Unplugged - Colonial Cousins,Leslie Lewis,1997,306040,7,0.672,0.166,0.672,0.889,1.46e-05,0.0953,-10.03,0.0612,108.201,4
71,Aap Ki Dua,Pal,KK,1999-04-16,258693,15,0.637,0.185,0.637,0.748,0.0,0.0707,-9.397,0.0276,138.867,4
72,Purani Jeans,Ali Haider's Best Of The Best Vol- 1,Ali Haider,2006-01-01,304453,20,0.774,0.102,0.774,0.757,1.43e-05,0.0476,-6.181,0.0324,92.118,4
73,Allah Ke Bande,Raag Time,Stanford Raagapella,2016,235146,13,0.676,0.866,0.676,0.427,0.0,0.108,-6.621,0.0298,94.903,4
