,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
40,Family (feat. P Money),No.5 Collaborations Project,Ed Sheeran,2011-09-09,254906,46,0.476,0.515,0.476,0.704,0.0,0.094,-5.411,0.278,140.396,4
41,Radio (feat. JME),No.5 Collaborations Project,Ed Sheeran,2011-09-09,222653,46,0.693,0.214,0.693,0.833,0.0,0.117,-5.408,0.263,99.901,4
42,Little Lady (feat. Mikill Pane),No.5 Collaborations Project,Ed Sheeran,2011-09-09,328653,52,0.437,0.731,0.437,0.5,0.0,0.157,-7.103,0.105,85.293,4
43,Drown Me Out (feat. Ghetts),No.5 Collaborations Project,Ed Sheeran,2011-09-09,261440,44,0.511,0.0282,0.511,0.91,0.0,0.127,-6.186,0.116,140.147,4
44,"Nightmares (feat. Random Impulse, Sway & Wretch 32)",No.5 Collaborations Project,Ed Sheeran,2011-09-09,243000,44,0.855,0.101,0.855,0.678,0.00232,0.0964,-6.864,0.052,120.012,4
45,Goodbye To You (feat. Dot Rotten),No.5 Collaborations Project,Ed Sheeran,2011-09-09,330200,45,0.64,0.267,0.64,0.664,0.0,0.329,-7.812,0.152,140.007,4
46,How Would You Feel (Paean),How Would You Feel (Paean),Ed Sheeran,2017-02-16,280533,62,0.617,0.424,0.617,0.439,0.0,0.127,-5.63,0.0269,139.979,4
47,Castle on the Hill,Castle on the Hill,Ed Sheeran,2017-01-06,261153,70,0.461,0.0232,0.461,0.834,1.14e-05,0.14,-4.868,0.0989,135.007,4
48,Shape of You,Shape of You,Ed Sheeran,2017-01-06,233712,82,0.825,0.581,0.825,0.652,0.0,0.0931,-3.183,0.0802,95.977,4
49,Bloodstream,Bloodstream,Ed Sheeran,2015-03-27,308876,47,0.482,0.202,0.482,0.59,2.48e-05,0.0592,-6.399,0.0485,89.354,4
50,I Will Take You Home,Bloodstream,Ed Sheeran,2015-03-27,238685,34,0.653,0.919,0.653,0.166,0.000124,0.0892,-11.446,0.0306,143.173,4
51,Friends,Sing EP,Ed Sheeran,2014-05-30,190538,41,0.516,0.783,0.516,0.158,1.32e-06,0.222,-14.433,0.0672,93.255,4
52,Fall,Songs I Wrote With Amy,Ed Sheeran,2011-12-09,163272,45,0.559,0.632,0.559,0.283,0.00127,0.126,-9.827,0.0323,82.552,4
53,Fire Alarms,Songs I Wrote With Amy,Ed Sheeran,2011-12-09,144013,43,0.602,0.772,0.602,0.286,0.0,0.162,-9.886,0.0296,102.009,4
54,Where We Land,Songs I Wrote With Amy,Ed Sheeran,2011-12-09,183000,44,0.68,0.838,0.68,0.248,4.86e-06,0.0907,-11.592,0.031,119.944,4
55,Cold Coffee,Songs I Wrote With Amy,Ed Sheeran,2011-12-09,254226,50,0.544,0.453,0.544,0.529,0.0,0.131,-6.753,0.0256,92.936,4
56,She,Songs I Wrote With Amy,Ed Sheeran,2011-12-09,244653,47,0.573,0.811,0.573,0.344,0.0,0.13,-10.91,0.0361,157.783,3
57,All About It (feat. Ed Sheeran),All About It EP,Hoodie Allen,2014-10-14,205733,39,0.738,0.0124,0.738,0.87,0.0,0.14,-5.343,0.0844,89.988,4
58,Be Like You,You Need Me,Ed Sheeran,2009,218373,43,0.671,0.715,0.671,0.388,0.0,0.192,-6.516,0.0762,105.869,4
59,So,You Need Me,Ed Sheeran,2009,268760,44,0.521,0.853,0.521,0.133,0.0,0.35,-10.599,0.0431,140.077,4
60,Everything You Are,Don't EP,Ed Sheeran,2014-08-22,238656,35,0.629,0.362,0.629,0.707,0.000159,0.112,-5.504,0.0947,173.847,4
61,Hush Little Baby,Black and White (Deluxe Version),Wretch 32,2011-08-21,236066,0,0.562,0.0067,0.562,0.877,0.0,0.603,-6.014,0.06,105.07,4
62,Candle In The Wind,Goodbye Yellow Brick Road (40th Anniversary Celebration/ Super Deluxe Edition),Elton John,1973-10-05,200173,0,0.539,0.507,0.539,0.559,1.03e-06,0.164,-9.012,0.0434,151.994,4
63,(All Along The) Watchtower - Radio Edit,Watchtower,Devlin,2012-01-01,219155,13,0.584,0.0167,0.584,0.92,0.0,0.0837,-3.376,0.134,107.008,4
64,Sunburn,You Need Me,Ed Sheeran,2009,266053,43,0.533,0.842,0.533,0.17,5.03e-06,0.113,-11.342,0.0668,116.852,5
65,Guiding Light,Joy Of Nothing,Foy Vance,2013-08-26,351993,51,0.44,0.709,0.44,0.22,0.000143,0.101,-12.008,0.0294,133.667,4
66,Lay It All On Me (feat. Ed Sheeran),We The Generation,Rudimental,2015-10-02,242440,66,0.669,0.141,0.669,0.747,0.0,0.185,-7.108,0.0428,122.531,4
67,Top Floor - Cabana,Hotel Cabana (Deluxe Version),Naughty Boy,2013-01-01,129360,30,0.311,0.593,0.311,0.261,5.55e-06,0.68,-13.688,0.0353,83.408,4
68,Dark Times,Beauty Behind The Madness,The Weeknd,2015-08-28,260640,32,0.585,0.106,0.585,0.421,9.54e-06,0.14,-9.593,0.0707,132.986,3
69,I Will Be There,I Still Do,Eric Clapton,2016-05-20,277571,10,0.911,0.8,0.911,0.258,0.0866,0.0844,-14.276,0.0473,107.855,4
70,Eraser,÷ (Deluxe),Ed Sheeran,2017-03-03,227426,74,0.64,0.086,0.64,0.812,0.0,0.0509,-5.647,0.0834,86.013,4
71,Dive,÷ (Deluxe),Ed Sheeran,2017-03-03,238440,82,0.761,0.355,0.761,0.386,0.0,0.0953,-6.158,0.0399,134.943,3
72,Perfect,÷ (Deluxe),Ed Sheeran,2017-03-03,263400,90,0.599,0.163,0.599,0.448,0.0,0.106,-6.312,0.0232,95.05,3
73,Galway Girl,÷ (Deluxe),Ed Sheeran,2017-03-03,170826,84,0.624,0.0735,0.624,0.876,0.0,0.327,-3.374,0.1,99.943,4
74,Happier,÷ (Deluxe),Ed Sheeran,2017-03-03,207520,88,0.522,0.536,0.522,0.385,0.0,0.135,-7.355,0.0288,89.792,4
75,New Man,÷ (Deluxe),Ed Sheeran,2017-03-03,189280,76,0.78,0.0559,0.78,0.745,0.0,0.0595,-3.97,0.145,94.026,4
76,Hearts Don't Break Around Here,÷ (Deluxe),Ed Sheeran,2017-03-03,248413,75,0.604,0.719,0.604,0.366,0.0,0.162,-7.881,0.0267,105.177,3
77,What Do I Know?,÷ (Deluxe),Ed Sheeran,2017-03-03,237333,77,0.838,0.251,0.838,0.492,0.0,0.262,-5.69,0.038,115.092,4
78,Supermarket Flowers,÷ (Deluxe),Ed Sheeran,2017-03-03,221106,82,0.589,0.914,0.589,0.242,0.0,0.0887,-10.517,0.0442,89.749,4
79,Barcelona,÷ (Deluxe),Ed Sheeran,2017-03-03,191146,75,0.747,0.448,0.747,0.76,0.0,0.153,-4.294,0.187,99.975,4
80,Bibia Be Ye Ye,÷ (Deluxe),Ed Sheeran,2017-03-03,176746,73,0.738,0.52,0.738,0.677,0.0,0.133,-5.121,0.0824,127.067,4
81,Nancy Mulligan,÷ (Deluxe),Ed Sheeran,2017-03-03,179786,76,0.68,0.117,0.68,0.852,0.0,0.0866,-4.35,0.0349,101.993,4
82,Save Myself,÷ (Deluxe),Ed Sheeran,2017-03-03,247106,74,0.552,0.85,0.552,0.29,0.0,0.227,-5.617,0.0448,78.842,4
83,Boa Me (feat. Ed Sheeran & Mugeez),Boa Me (feat. Ed Sheeran & Mugeez),Fuse ODG,2017-11-10,180500,66,0.906,0.165,0.906,0.597,2.94e-06,0.0775,-2.566,0.0764,124.008,4
84,River (feat. Ed Sheeran),Revival,Eminem,2017-12-15,221013,49,0.757,0.17,0.757,0.748,0.0,0.0759,-5.794,0.473,90.052,4
85,Lifting You,NO ONE EVER REALLY DIES,N.E.R.D,2017-12-15,222960,49,0.761,0.124,0.761,0.509,0.0151,0.0832,-6.186,0.134,170.038,4
