name,album,artist,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,class
Homeless,Loose Change,Ed Sheeran,50,0.754,0.519,0.636,0,0.108,-7.129,0.193,90.001,0
Little Bird,Loose Change,Ed Sheeran,51,0.826,0.569,0.485,0,0.107,-7.424,0.0354,104.011,0
Sofa,Loose Change,Ed Sheeran,50,0.646,0.14,0.65,9.65E-06,0.0999,-6.491,0.0278,100.05,0
One Night,Loose Change,Ed Sheeran,51,0.781,0.379,0.836,0,0.289,-5.496,0.0658,94.989,0
Firefly,Loose Change,Ed Sheeran,53,0.602,0.886,0.31,0.000142,0.105,-11.469,0.0373,159.917,0
The A Team,+,Ed Sheeran,73,0.642,0.669,0.289,0,0.18,-9.918,0.0367,84.996,0
Drunk,+,Ed Sheeran,71,0.733,0.419,0.652,2.37E-06,0.521,-9.101,0.0696,99.998,0
U.N.I.,+,Ed Sheeran,62,0.422,0.323,0.405,0,0.15,-11.126,0.101,74.13,0
Grade 8,+,Ed Sheeran,59,0.74,0.0446,0.807,4.02E-05,0.0538,-9.976,0.0363,101.042,0
Wake Me Up,+,Ed Sheeran,64,0.616,0.902,0.209,0,0.139,-13.43,0.406,86.891,0
Small Bump,+,Ed Sheeran,71,0.81,0.689,0.436,0.000151,0.11,-12.683,0.0717,119.973,0
This,+,Ed Sheeran,62,0.588,0.95,0.0929,0.00539,0.128,-14.301,0.0443,152.139,0
The City,+,Ed Sheeran,57,0.74,0.0415,0.505,6.82E-05,0.0707,-10.338,0.0674,97.994,0
Lego House,+,Ed Sheeran,75,0.592,0.562,0.637,0,0.13,-8.48,0.0992,159.701,0
"You Need Me, I Don't Need You",+,Ed Sheeran,70,0.749,0.162,0.837,0,0.525,-8.837,0.0512,103.483,0
Kiss Me,+,Ed Sheeran,77,0.589,0.64,0.227,0.00469,0.0248,-16.67,0.0498,74.993,0
Give Me Love,+,Ed Sheeran,77,0.526,0.694,0.328,0,0.112,-9.864,0.0461,116.068,0
Autumn Leaves,+,Ed Sheeran,64,0.555,0.892,0.257,1.42E-06,0.124,-12.637,0.0299,89.013,0
Little Bird - Deluxe Edition,+,Ed Sheeran,59,0.843,0.565,0.425,0,0.102,-8.676,0.0352,104.02,0
Gold Rush - Deluxe Edition,+,Ed Sheeran,60,0.74,0.729,0.248,0,0.141,-12.659,0.109,83.786,0
Sunburn - Deluxe Edition,+,Ed Sheeran,58,0.464,0.865,0.098,0,0.101,-12.119,0.0376,78.864,0
Lately (feat. Devlin),No.5 Collaborations Project,Ed Sheeran,47,0.718,0.0928,0.82,0,0.391,-5.552,0.103,90.013,0
You (feat. Wiley),No.5 Collaborations Project,Ed Sheeran,46,0.799,0.386,0.532,0.00017,0.0978,-9.472,0.0707,100.032,0
Family (feat. P Money),No.5 Collaborations Project,Ed Sheeran,46,0.476,0.515,0.704,0,0.094,-5.411,0.278,140.396,0
Radio (feat. JME),No.5 Collaborations Project,Ed Sheeran,46,0.693,0.214,0.833,0,0.117,-5.408,0.263,99.901,0
Little Lady (feat. Mikill Pane),No.5 Collaborations Project,Ed Sheeran,52,0.437,0.731,0.5,0,0.157,-7.103,0.105,85.293,0
Drown Me Out (feat. Ghetts),No.5 Collaborations Project,Ed Sheeran,44,0.511,0.0282,0.91,0,0.127,-6.186,0.116,140.147,0
"Nightmares (feat. Random Impulse, Sway & Wretch 32)",No.5 Collaborations Project,Ed Sheeran,44,0.855,0.101,0.678,0.00232,0.0964,-6.864,0.052,120.012,0
Goodbye To You (feat. Dot Rotten),No.5 Collaborations Project,Ed Sheeran,45,0.64,0.267,0.664,0,0.329,-7.812,0.152,140.007,0
How Would You Feel (Paean),How Would You Feel (Paean),Ed Sheeran,62,0.617,0.424,0.439,0,0.127,-5.63,0.0269,139.979,0
Castle on the Hill,Castle on the Hill,Ed Sheeran,70,0.461,0.0232,0.834,1.14E-05,0.14,-4.868,0.0989,135.007,0
Shape of You,Shape of You,Ed Sheeran,82,0.825,0.581,0.652,0,0.0931,-3.183,0.0802,95.977,0
Bloodstream,Bloodstream,Ed Sheeran,47,0.482,0.202,0.59,2.48E-05,0.0592,-6.399,0.0485,89.354,0
I Will Take You Home,Bloodstream,Ed Sheeran,34,0.653,0.919,0.166,0.000124,0.0892,-11.446,0.0306,143.173,0
Friends,Sing EP,Ed Sheeran,41,0.516,0.783,0.158,1.32E-06,0.222,-14.433,0.0672,93.255,0
Fall,Songs I Wrote With Amy,Ed Sheeran,45,0.559,0.632,0.283,0.00127,0.126,-9.827,0.0323,82.552,0
Fire Alarms,Songs I Wrote With Amy,Ed Sheeran,43,0.602,0.772,0.286,0,0.162,-9.886,0.0296,102.009,0
Where We Land,Songs I Wrote With Amy,Ed Sheeran,44,0.68,0.838,0.248,4.86E-06,0.0907,-11.592,0.031,119.944,0
Cold Coffee,Songs I Wrote With Amy,Ed Sheeran,50,0.544,0.453,0.529,0,0.131,-6.753,0.0256,92.936,0
She,Songs I Wrote With Amy,Ed Sheeran,47,0.573,0.811,0.344,0,0.13,-10.91,0.0361,157.783,0
All About It (feat. Ed Sheeran),All About It EP,Hoodie Allen,39,0.738,0.0124,0.87,0,0.14,-5.343,0.0844,89.988,0
Be Like You,You Need Me,Ed Sheeran,43,0.671,0.715,0.388,0,0.192,-6.516,0.0762,105.869,0
So,You Need Me,Ed Sheeran,44,0.521,0.853,0.133,0,0.35,-10.599,0.0431,140.077,0
Everything You Are,Don't EP,Ed Sheeran,35,0.629,0.362,0.707,0.000159,0.112,-5.504,0.0947,173.847,0
Hush Little Baby,Black and White (Deluxe Version),Wretch 32,0,0.562,0.0067,0.877,0,0.603,-6.014,0.06,105.07,0
Candle In The Wind,Goodbye Yellow Brick Road (40th Anniversary Celebration/ Super Deluxe Edition),Elton John,0,0.539,0.507,0.559,1.03E-06,0.164,-9.012,0.0434,151.994,0
(All Along The) Watchtower - Radio Edit,Watchtower,Devlin,13,0.584,0.0167,0.92,0,0.0837,-3.376,0.134,107.008,0
Sunburn,You Need Me,Ed Sheeran,43,0.533,0.842,0.17,5.03E-06,0.113,-11.342,0.0668,116.852,0
Guiding Light,Joy Of Nothing,Foy Vance,51,0.44,0.709,0.22,0.000143,0.101,-12.008,0.0294,133.667,0
Lay It All On Me (feat. Ed Sheeran),We The Generation,Rudimental,66,0.669,0.141,0.747,0,0.185,-7.108,0.0428,122.531,0
Top Floor - Cabana,Hotel Cabana (Deluxe Version),Naughty Boy,30,0.311,0.593,0.261,5.55E-06,0.68,-13.688,0.0353,83.408,0
Dark Times,Beauty Behind The Madness,The Weeknd,32,0.585,0.106,0.421,9.54E-06,0.14,-9.593,0.0707,132.986,0
I Will Be There,I Still Do,Eric Clapton,10,0.911,0.8,0.258,0.0866,0.0844,-14.276,0.0473,107.855,0
Eraser,÷ (Deluxe),Ed Sheeran,74,0.64,0.086,0.812,0,0.0509,-5.647,0.0834,86.013,0
Dive,÷ (Deluxe),Ed Sheeran,82,0.761,0.355,0.386,0,0.0953,-6.158,0.0399,134.943,0
Perfect,÷ (Deluxe),Ed Sheeran,90,0.599,0.163,0.448,0,0.106,-6.312,0.0232,95.05,0
Galway Girl,÷ (Deluxe),Ed Sheeran,84,0.624,0.0735,0.876,0,0.327,-3.374,0.1,99.943,0
Happier,÷ (Deluxe),Ed Sheeran,88,0.522,0.536,0.385,0,0.135,-7.355,0.0288,89.792,0
New Man,÷ (Deluxe),Ed Sheeran,76,0.78,0.0559,0.745,0,0.0595,-3.97,0.145,94.026,0
Hearts Don't Break Around Here,÷ (Deluxe),Ed Sheeran,75,0.604,0.719,0.366,0,0.162,-7.881,0.0267,105.177,0
What Do I Know?,÷ (Deluxe),Ed Sheeran,77,0.838,0.251,0.492,0,0.262,-5.69,0.038,115.092,0
Supermarket Flowers,÷ (Deluxe),Ed Sheeran,82,0.589,0.914,0.242,0,0.0887,-10.517,0.0442,89.749,0
Barcelona,÷ (Deluxe),Ed Sheeran,75,0.747,0.448,0.76,0,0.153,-4.294,0.187,99.975,0
Bibia Be Ye Ye,÷ (Deluxe),Ed Sheeran,73,0.738,0.52,0.677,0,0.133,-5.121,0.0824,127.067,0
Nancy Mulligan,÷ (Deluxe),Ed Sheeran,76,0.68,0.117,0.852,0,0.0866,-4.35,0.0349,101.993,0
Save Myself,÷ (Deluxe),Ed Sheeran,74,0.552,0.85,0.29,0,0.227,-5.617,0.0448,78.842,0
Boa Me (feat. Ed Sheeran & Mugeez),Boa Me (feat. Ed Sheeran & Mugeez),Fuse ODG,66,0.906,0.165,0.597,2.94E-06,0.0775,-2.566,0.0764,124.008,0
River (feat. Ed Sheeran),Revival,Eminem,49,0.757,0.17,0.748,0,0.0759,-5.794,0.473,90.052,0
Lifting You,NO ONE EVER REALLY DIES,N.E.R.D,49,0.761,0.124,0.509,0.0151,0.0832,-6.186,0.134,170.038,0
