name,album,artist,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,class
Since Way Back,More Life,Drake,34,0.468,0.348,0.266,9.55E-06,0.209,-11.121,0.13,153.292,1
Sacrifices,More Life,Drake,39,0.903,0.0407,0.439,0,0.138,-11.813,0.397,139.112,1
Portland,More Life,Drake,49,0.925,0.0172,0.443,0,0.276,-8.216,0.264,136.078,1
Passionfruit,More Life,Drake,56,0.809,0.256,0.463,0.085,0.109,-11.377,0.0396,111.98,1
Nothings Into Somethings,More Life,Drake,34,0.766,0.332,0.234,0.00156,0.358,-7.544,0.159,96.882,1
No Long Talk,More Life,Drake,39,0.913,0.0671,0.608,0,0.533,-6.839,0.234,97.063,1
Madiba Riddim,More Life,Drake,41,0.839,0.245,0.521,0.00545,0.607,-10.45,0.166,105.992,1
Lose You,More Life,Drake,34,0.526,0.699,0.583,0,0.372,-9.172,0.376,89.835,1
KMT,More Life,Drake,44,0.875,0.0189,0.6,0.0143,0.132,-6.818,0.0435,119.987,1
Jorja Interlude,More Life,Drake,38,0.735,0.762,0.373,0.00202,0.288,-10.478,0.104,123.081,1
Ice Melts,More Life,Drake,36,0.813,0.08,0.551,0,0.386,-7.605,0.353,124.957,1
Gyalchester,More Life,Drake,45,0.877,0.0317,0.391,0.000502,0.0945,-8.196,0.063,131.018,1
Glow,More Life,Drake,34,0.688,0.2,0.384,0,0.708,-8.824,0.375,162.097,1
Get It Together,More Life,Drake,43,0.781,0.0945,0.721,0.391,0.104,-9.133,0.0514,123.011,1
Free Smoke,More Life,Drake,41,0.736,0.0681,0.491,0,0.571,-6.892,0.439,141.979,1
Do Not Disturb,More Life,Drake,45,0.618,0.246,0.693,0,0.112,-5.943,0.45,170.982,1
Can't Have Everything,More Life,Drake,35,0.856,0.0136,0.572,1.55E-06,0.121,-8.429,0.373,82.445,1
Blem,More Life,Drake,45,0.726,0.0533,0.535,1.38E-05,0.0984,-7.804,0.0476,98.067,1
4422,More Life,Drake,38,0.61,0.558,0.229,0.0413,0.113,-12.36,0.0333,111.887,1
Mr. Wrong,My Life II...The Journey Continues (Act 1),Mary J. Blige,31,0.694,0.202,0.674,1.22E-05,0.138,-4.991,0.164,143.067,1
No Complaints,No Complaints,Metro Boomin,40,0.911,0.0836,0.51,0.0658,0.0797,-10.786,0.185,123.961,1
No Frauds,No Frauds,Nicki Minaj,40,0.865,0.0788,0.553,3.17E-06,0.514,-7.012,0.276,139.023,1
No Lie,No Lie (Explicit Version),2 Chainz,0,0.467,0.0176,0.674,0,0.415,-5.919,0.225,130.585,1
No New Friends - SFTB Remix (Edited Version),No New Friends (SFTB Remix),DJ Khaled,4,0.699,0.00403,0.646,0,0.614,-6.434,0.0999,125.012,1
No Shopping,No Shopping,French Montana,10,0.896,0.0136,0.491,0.00191,0.142,-10.335,0.271,83.505,1
Wu-Tang Forever,Nothing Was The Same,Drake,51,0.844,0.0503,0.43,0,0.0998,-8.44,0.188,99.915,1
Worst Behavior,Nothing Was The Same,Drake,54,0.771,0.158,0.781,0,0.185,-6.361,0.147,109.945,1
Tuscan Leather,Nothing Was The Same,Drake,49,0.542,0.107,0.672,0,0.262,-5.436,0.39,79.638,1
Too Much,Nothing Was The Same,Drake,55,0.632,0.157,0.559,0,0.121,-5.891,0.52,140.201,1
The Motion,Nothing Was The Same,Drake,51,0.669,0.281,0.725,0.000387,0.0961,-8.307,0.0915,157.652,1
The Language,Nothing Was The Same,Drake,51,0.819,0.0101,0.658,0,0.0816,-8.417,0.319,120.108,1
Pound Cake / Paris Morton Music 2,Nothing Was The Same,Drake,58,0.538,0.139,0.755,1.37E-05,0.114,-6.766,0.5,93.685,1
Own It,Nothing Was The Same,Drake,51,0.653,0.0496,0.343,4.13E-05,0.304,-11.327,0.115,103.029,1
"Hold On, We're Going Home",Nothing Was The Same,Drake,69,0.773,0.00357,0.404,2.17E-05,0.0718,-7.438,0.0949,99.999,1
Furthest Thing,Nothing Was The Same,Drake,52,0.549,0.148,0.772,0,0.0574,-5.292,0.148,137.083,1
From Time,Nothing Was The Same,Drake,61,0.564,0.633,0.509,0,0.127,-9.727,0.475,91.632,1
